game_A,game_B,genre_sama,persen_laku_A,jumlah_pembeli_A,jumlah_pembeli_B,jumlah_beli_keduanya,persen_bundling
"""Buy The Game, I Have A Gun"" -Sheesh-Man : Digital Deluxe Mega Chad Edition",Botany Manor,"Adventure, Unique",0.18,9,14,3,33.33
"#Womenup, Super Puzzles Dream",Out Of Sight,Puzzle,0.42,21,11,3,14.29
"#Womenup, Super Puzzles Dream",Jewel Match Solitaire 2 Collector'S Edition,"Card & Board Game, Puzzle",0.42,21,24,3,14.29
"#Xmas, Super Puzzles Dream",Jewel Match Solitaire 2 Collector'S Edition,"Card & Board Game, Puzzle",0.26,13,24,3,23.08
%,Vigour,Puzzle,0.58,29,13,3,10.34
%,The Myth Seekers: The Legacy Of Vulkan,Puzzle,0.58,29,29,3,10.34
%,Cats And Seek : Kyoto,Puzzle,0.58,29,38,3,10.34
%,The Jackbox Party Pack 7,Unique,0.58,29,25,3,10.34
%,Access Denied: Escape Ps4 & Ps5,Puzzle,0.58,29,18,3,10.34
%,Oddworld: Abe'S Exoddus (Ps1 Emulation),Puzzle,0.58,29,19,3,10.34
%,The Pedestrian,"Puzzle, Unique",0.58,29,24,3,10.34
%,A Rite From The Stars: Remaster Edition,Puzzle,0.58,29,24,3,10.34
(Dis)Assemble,Connect Pictures Of Dog,Brain Training,0.66,33,26,5,15.15
(Dis)Assemble,Color Swiper 3 - Ps4 & Ps5,Brain Training,0.66,33,24,4,12.12
(Dis)Assemble,Sixty Words By Powgi Ps4 & Ps5,"Brain Training, Casual",0.66,33,36,4,12.12
(Dis)Assemble,The Jumping Alphabet Soup - Ps4 & Ps5,"Brain Training, Casual",0.66,33,33,4,12.12
(Dis)Assemble,Letterbox By Powgi Ps4 & Ps5,Brain Training,0.66,33,30,3,9.09
(Dis)Assemble,Neon Noodles Ps4 & Ps5,Brain Training,0.66,33,50,3,9.09
(Dis)Assemble,Mind Loop,Brain Training,0.66,33,18,3,9.09
(Dis)Assemble,Aery - Calm Mind 3,Casual,0.66,33,14,3,9.09
(Dis)Assemble,Out Of Moves: Another Try,Casual,0.66,33,22,3,9.09
(Dis)Assemble,Remember Valentine: Avatar Bundle,Brain Training,0.66,33,22,3,9.09
.Detuned,Beat Sketcher,"Music, Rhythm, Unique",1.3,65,85,20,30.77
.Detuned,Journey - Édition Collector,Unique,1.3,65,75,15,23.08
.Detuned,Mix Superstar,"Music, Rhythm",1.3,65,77,14,21.54
.Detuned,The Undergarden,Unique,1.3,65,48,11,16.92
.Detuned,Brütal Legend,Music,1.3,65,75,10,15.38
.Detuned,Beat Hazard Ultra,"Music, Rhythm",1.3,65,106,10,15.38
.Detuned,Visualizer,"Music, Rhythm",1.3,65,44,10,15.38
.Detuned,Syberia 2,Unique,1.3,65,51,10,15.38
.Detuned,Flower,Unique,1.3,65,129,10,15.38
.Detuned,Dancedancerevolution New Moves,"Music, Rhythm",1.3,65,48,10,15.38
.Detuned,Eufloria,Unique,1.3,65,47,9,13.85
.Detuned,Rock Band,"Music, Rhythm",1.3,65,49,9,13.85
.Detuned,Mesmerize: Trace,Unique,1.3,65,24,9,13.85
.Detuned,Umjammer Lammy,"Music, Rhythm",1.3,65,64,9,13.85
.Detuned,Proteus,Unique,1.3,65,52,9,13.85
1-2-Fantastic Word Search!,Puzzlepet: Feed Your Cat,"Brain Training, Puzzle",0.62,31,32,4,12.9
1-2-Fantastic Word Search!,Another World Mahjong Girl Ps4 & Ps5,"Casual, Puzzle",0.62,31,28,3,9.68
1-2-Fantastic Word Search!,Color Swiper 3 - Ps4 & Ps5,Brain Training,0.62,31,24,3,9.68
1-2-Fantastic Word Search!,Stellar Docks,"Casual, Puzzle",0.62,31,25,3,9.68
1-2-Fantastic Word Search!,Return To Monkey Island,Puzzle,0.62,31,25,3,9.68
1-2-Fantastic Word Search!,Rivenaar'S Grove Ps4 & Ps5,"Brain Training, Casual, Puzzle",0.62,31,39,3,9.68
1-2-Fantastic Word Search!,1-2-Whopping Word Search!,"Brain Training, Puzzle",0.62,31,33,3,9.68
1-2-Fantastic Word Search!,Find Room 96,"Brain Training, Puzzle",0.62,31,33,3,9.68
1-2-Fantastic Word Search!,Candy Trail,"Casual, Puzzle",0.62,31,19,3,9.68
1-2-Fantastic Word Search!,Knight Quest: Goblins Raid,Casual,0.62,31,18,3,9.68
1-2-Fantastic Word Search!,Sokobalien,"Casual, Puzzle",0.62,31,17,3,9.68
1-2-Whopping Word Search!,Puzzlepet: Feed Your Cat,"Brain Training, Puzzle",0.66,33,32,4,12.12
1-2-Whopping Word Search!,Educational Games For Kids,"Brain Training, Educational",0.66,33,43,3,9.09
1-2-Whopping Word Search!,Exit Station 7,"Brain Training, Puzzle",0.66,33,47,3,9.09
1-2-Whopping Word Search!,One Eyed Kutkh,Educational,0.66,33,78,3,9.09
1-2-Whopping Word Search!,Match Master,Educational,0.66,33,21,3,9.09
1-2-Whopping Word Search!,Spot The Diff,Educational,0.66,33,48,3,9.09
1-2-Whopping Word Search!,Discovery Tour: Viking Age,Educational,0.66,33,23,3,9.09
1-2-Whopping Word Search!,Beholder 2,Educational,0.66,33,21,3,9.09
1-2-Whopping Word Search!,Table Letters,Brain Training,0.66,33,20,3,9.09
1-2-Whopping Word Search!,Lost Twins 2,Puzzle,0.66,33,12,3,9.09
1-2-Whopping Word Search!,The Night Of The Rabbit,Puzzle,0.66,33,45,3,9.09
1-2-Whopping Word Search!,1-2-Fantastic Word Search!,"Brain Training, Puzzle",0.66,33,31,3,9.09
1-2-Whopping Word Search!,Learn Basic Kanji!!,Educational,0.66,33,21,3,9.09
1-2-Word Search!,Skater'S Solstice Ps4 & Ps5,"Casual, Family, Puzzle",0.44,22,33,4,18.18
1-2-Word Search!,Cat Needs Ps4 & Ps5,"Casual, Family, Puzzle",0.44,22,45,4,18.18
1-2-Word Search!,Hegzis Ps4 & Ps5,"Casual, Family, Puzzle",0.44,22,40,3,13.64
10 Pin: Champions Alley,5 Star Wrestling,Sports,0.42,21,37,6,28.57
10 Pin: Champions Alley,Le Package Big Head,Sports,0.42,21,126,5,23.81
10 Pin: Champions Alley,Move Street Cricket,Sports,0.42,21,28,5,23.81
10 Pin: Champions Alley,Pêche D’Une Chiquenaude,Sports,0.42,21,85,5,23.81
10 Pin: Champions Alley,Feel Ski,Sports,0.42,21,29,4,19.05
10 Pin: Champions Alley,Let'S Golf!,Sports,0.42,21,85,4,19.05
10 Pin: Champions Alley,Hustle Kings,Sports,0.42,21,21,4,19.05
10 Pin: Champions Alley,Tabletop Cricket,Sports,0.42,21,22,4,19.05
10 Pin: Champions Alley,High Velocity Bowling,Sports,0.42,21,67,4,19.05
10 Pin: Champions Alley,Skate 3,Sports,0.42,21,32,4,19.05
10 Pin: Champions Alley,Bowling 3D,Sports,0.42,21,70,4,19.05
10 Pin: Champions Alley,Vt Tennis,Sports,0.42,21,91,4,19.05
10 Pin: Champions Alley,Urban Trial Freestyle,Sports,0.42,21,24,4,19.05
10 Pin: Champions Alley,Ihf Handball Challenge 14,Sports,0.42,21,28,3,14.29
10 Pin: Champions Alley,Everybody’S Golf 2,Sports,0.42,21,137,3,14.29
10 Second Ninja X,Pandemonium 2,Puzzle,0.26,13,120,3,23.08
10 Second Ninja X,The Bridge,Puzzle,0.26,13,33,3,23.08
10 Second Ninja X,Panda Craze,Puzzle,0.26,13,52,3,23.08
10 Second Ninja X,Denki Blocks!,Puzzle,0.26,13,56,3,23.08
10 Second Ninja X,Breakquest: Extra Evolution Pro Edition,Puzzle,0.26,13,44,3,23.08
10 Second Ninja X,3D Twist & Match,Puzzle,0.26,13,72,3,23.08
10 Second Ninja X,Sayonara Umiharakawase +,Puzzle,0.26,13,15,3,23.08
10-Second Ghost,Roller Drama,"Arcade, Strategy",0.52,26,21,3,11.54
10-Second Ghost,Ixion,Strategy,0.52,26,17,3,11.54
10-Second Ghost,Find Room 96,Puzzle,0.52,26,33,3,11.54
10-Second Ghost,Chess Club,"Arcade, Puzzle, Strategy",0.52,26,20,3,11.54
10-Second Ghost,Antro,Platform,0.52,26,22,3,11.54
101-In-1 Megamix [Psp],Flow [Psp],"Puzzle, Simulation",2.44,122,112,29,23.77
101-In-1 Megamix [Psp],Trailblazer,"Puzzle, Racing",2.44,122,107,25,20.49
101-In-1 Megamix [Psp],Commander Europe At War,Simulation,2.44,122,68,25,20.49
101-In-1 Megamix [Psp],Everybody'S Golf 2 [Psp],Simulation,2.44,122,88,25,20.49
101-In-1 Megamix [Psp],Everybody’S Golf 2,Simulation,2.44,122,137,23,18.85
101-In-1 Megamix [Psp],Everybody'S Golf [Psp],Simulation,2.44,122,102,23,18.85
101-In-1 Megamix [Psp],Everybody'S Tennis [Psp],Simulation,2.44,122,95,23,18.85
101-In-1 Megamix [Psp],Harvest Moon: Back To Nature,Simulation,2.44,122,122,22,18.03
101-In-1 Megamix [Psp],Hello Flowerz,Simulation,2.44,122,76,22,18.03
101-In-1 Megamix [Psp],Hotel Mogul,Simulation,2.44,122,125,21,17.21
101-In-1 Megamix [Psp],Reel Fishing,Simulation,2.44,122,141,21,17.21
101-In-1 Megamix [Psp],Carnivores: Dinosaur Hunter,Simulation,2.44,122,118,21,17.21
101-In-1 Megamix [Psp],Il-2 Sturmovik: Birds Of Prey,"Action, Simulation",2.44,122,54,20,16.39
101-In-1 Megamix [Psp],Le Package Big Head,"Action, Racing",2.44,122,126,20,16.39
101-In-1 Megamix [Psp],Beaterator,Puzzle,2.44,122,132,19,15.57
101-In-1 Megamix+Fading Shadows,Buzz!: Master Quiz [Psp],Unknown,0.44,22,57,6,27.27
101-In-1 Megamix+Fading Shadows,Pack Arc-En-Ciel [Psp],Unknown,0.44,22,27,5,22.73
101-In-1 Megamix+Fading Shadows,Patapon 3 Déblocage En Ligne [Psp],Unknown,0.44,22,47,5,22.73
101-In-1 Megamix+Fading Shadows,King Of Pool [Psp],Unknown,0.44,22,41,5,22.73
101-In-1 Megamix+Fading Shadows,Socom: Fireteam Bravo 3 [Psp],Unknown,0.44,22,30,5,22.73
101-In-1 Megamix+Fading Shadows,Lilo & Stitch : Ouragan Sur Hawaï,Unknown,0.44,22,45,5,22.73
101-In-1 Megamix+Fading Shadows,No Heroes Allowed! [Psp],Unknown,0.44,22,31,5,22.73
101-In-1 Megamix+Fading Shadows,Super Slammin' Dodgeball,Unknown,0.44,22,53,4,18.18
101-In-1 Megamix+Fading Shadows,Prince Of Persia Revelations+Driver76,Unknown,0.44,22,33,4,18.18
101-In-1 Megamix+Fading Shadows,"Monstres & Cie L,Île De L,Épouvante",Unknown,0.44,22,64,4,18.18
101-In-1 Megamix+Fading Shadows,Prince Of Persia R.Swords + Sc Ess.,Unknown,0.44,22,33,4,18.18
101-In-1 Megamix+Fading Shadows,Beach Buzzin’ Chopper,Unknown,0.44,22,50,4,18.18
101-In-1 Megamix+Fading Shadows,Bugriders: The Race Of Kings,Unknown,0.44,22,54,4,18.18
101-In-1 Megamix+Fading Shadows,Toy Story 3 [Psp],Unknown,0.44,22,36,4,18.18
101-In-1 Megamix+Fading Shadows,Parchési,Unknown,0.44,22,40,3,13.64
112 Operator,Paper Beast,Simulator,0.4,20,24,3,15.0
112 Operator,Game Builder Tycoon,"Simulator, Strategy",0.4,20,27,3,15.0
112 Operator,The Jumping Pasta,"Simulation, Simulator",0.4,20,20,3,15.0
112 Operator,Star Renegades,Strategy,0.4,20,15,3,15.0
18 Floors,The Exit Project: Backstreets Ps4 & Ps5,"Horror, Puzzle",0.22,11,26,3,27.27
1917 - The Alien Invasion Dx Remastered,Slavicpunk: Oldtimer,"Indie, Shooter",0.22,11,14,3,27.27
1917 - The Alien Invasion Dx Remastered,Serious Sam 4,"Indie, Shooter",0.22,11,15,3,27.27
1942: Joint Strike,Jet Set Radio,Arcade,0.44,22,116,6,27.27
1942: Joint Strike,Beat Hazard Ultra,"Arcade, Shooter",0.44,22,106,6,27.27
1942: Joint Strike,Fear Effect 2: Retro Helix,Shooter,0.44,22,98,6,27.27
1942: Joint Strike,Warhawk,Shooter,0.44,22,30,4,18.18
1942: Joint Strike,Choplifter Hd,"Arcade, Shooter",0.44,22,70,4,18.18
