genre,rata2_actual_3bulan_terakhir,rata2_forecast_kedepan,persen_perubahan,total_historis
Sport,88.3,95.7,8.36,4523
Adult,10.0,10.8,8.27,448
Trivia,17.7,19.1,8.07,885
Educational,29.3,31.3,6.56,1450
Simulator,287.0,300.7,4.76,14969
Unique,121.7,126.9,4.3,5993
Brain Training,48.0,49.8,3.81,2316
Quiz,30.0,31.1,3.59,1409
Casual,279.3,287.6,2.95,13922
Hack And Slash,75.7,77.3,2.15,3780
Beat 'Em Up,75.7,77.3,2.15,3780
Platform,161.7,164.2,1.6,7941
Strategy,422.7,424.7,0.49,20195
Simulation,211.3,211.7,0.16,10329
Fighting,164.0,162.0,-1.21,8006
Sports,159.3,157.4,-1.21,7320
RPG,440.3,434.9,-1.24,21913
Arcade,673.3,664.1,-1.37,30883
Racing,257.7,254.0,-1.44,12109
Shooter,500.0,491.5,-1.71,23492
Puzzle,636.3,622.9,-2.11,30932
Unknown,206.0,201.4,-2.22,9910
Adventure,1035.3,1012.2,-2.24,49758
Indie,390.0,379.0,-2.83,18779
Party,72.0,70.0,-2.84,3478
Action,733.3,707.3,-3.55,35360
Family,151.3,145.5,-3.83,7310
Horror,122.7,117.1,-4.58,5777
Tactical,33.0,31.3,-5.15,1571
Point-And-Click,36.3,34.2,-5.81,1730
Music,138.0,127.3,-7.74,6400
Rhythm,106.7,96.0,-9.96,4866
Visual Novel,29.0,25.8,-10.97,1388
Turn-Based Strategy (Tbs),32.3,28.6,-11.4,1442
Real Time Strategy (Rts),19.7,16.9,-14.06,987
Card & Board Game,56.7,48.3,-14.7,2322
